Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
1-decyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Decyl,,698.719433,1338.604113,14.05225072,2.585709659,5.2862,0.056083917,0.476720268,Yes
carbonyl-1-nonyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Nonyl,Carbonyl,747.0245575,1326.723258,34.54062775,2.585709659,4.7112,0.079045502,0.43512534,Yes
carbonyl-1-decyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Decyl,Carbonyl,758.6736665,1291.358396,14.05225072,2.585709659,5.1013,0.083856912,0.478624958,Yes
carboxyl-1-decyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Decyl,Carboxyl,794.0282219,1279.996924,22.89381748,2.585709659,4.987,0.134283936,0.44961343,Yes
1-ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Ethyl,,1059.675525,2162.594353,7.958598954,2.50929039,1.9247,0.262026322,0.482565411,Yes
1-(2-hydroxyheptyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Heptyl,Hydroxyl,873.9377332,1464.425067,29.85357007,1.915540829,1.2898,0.110303732,0.46177363,No
1-(3-aminoheptyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Heptyl,Amino,894.6421054,1452.0153,24.51505116,1.915540829,2.2765,0.169353405,0.462524175,No
1-(2-hydroxyoctyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Octyl,Hydroxyl,885.5868422,1411.244284,22.31255922,1.915540829,1.6799,0.117017795,0.470136996,No
1-(3-aminooctyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Octyl,Amino,906.2912144,1400.058549,17.71175777,1.915540829,2.6666,0.179661754,0.469882826,No
1-butyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Butyl,,1083.80313,1946.359732,6.66950085,3.189933276,2.7049,0.310015242,0.482509356,Yes
1-(2-hydroxynonyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Nonyl,Hydroxyl,897.2276482,1365.718629,29.85357007,1.915540829,2.07,0.124140534,0.458259125,No
1-(3-aminononyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Nonyl,Amino,917.9320204,1355.545761,24.51505116,1.915540829,3.0567,0.19059756,0.458971186,No
1-(2-hydroxydecyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Decyl,Hydroxyl,908.8767572,1326.373884,20.24885281,1.915540829,2.4601,0.131696827,0.469137696,No
1-hexyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Hexyl,,1107.101348,1785.908873,4.867997011,1.915540829,3.4851,0.348904402,0.481562644,Yes
1-(3-aminodecyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Decyl,Amino,929.5811294,1317.051541,15.89295367,1.915540829,3.4468,0.202199016,0.468524858,No
"carbonyl-1,3-dimethylimidazolium bis(trifluoromethanesulfonyl)imide",Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Methyl,Carbonyl,1111.783473,2089.616649,8.507383929,2.225540928,1.3497,0.351292615,0.48713909,No
1-(3-aminomethyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Methyl,Amino,1165.202992,2290.01158,8.845532239,2.225540928,1.6966,0.498044514,0.472974066,No
1-(2-hydroxymethyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Methyl,Hydroxyl,1144.49862,2310.165034,12.07311506,2.225540928,0.7099,0.324387743,0.483617114,No
"carboxyl-1,3-dimethylimidazolium bis(trifluoromethanesulfonyl)imide",Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Methyl,Carboxyl,1147.138028,2019.587302,15.34290697,2.225540928,1.2354,0.562541051,0.472005621,No
1-(3-aminopropyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Propyl,Amino,1185.536076,2042.83738,9.433226576,2.829217014,2.4768,0.619471045,0.47126056,No
1-(2-hydroxyethyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Hydroxyl,1152.344906,2170.094877,11.44594909,2.50929039,1.1,0.361776923,0.484023197,No
1-(3-aminoethyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Amino,1173.049278,2152.58549,8.330297256,2.50929039,2.0867,0.555449508,0.47343131,No
"1,3-dimethylimidazolium bis(trifluoromethanesulfonyl)imide",Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Methyl,,1051.829239,2307.781513,8.507383929,2.225540928,1.5346,0.234946238,0.482188115,No
1-(2-hydroxypropyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Propyl,Hydroxyl,1164.831704,2058.29373,12.78355378,2.829217014,1.4901,0.403475609,0.482114258,No
carbonyl-1-ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Carbonyl,1119.629759,1983.337786,7.958598954,2.50929039,1.7398,0.391782872,0.486821599,No
