Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
1-decylpyridinium bis(trifluoromethanesulfonyl)imide,1-Butylpyridinium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1100.546937,1312.774952,2.209716429,2.611696473,6.9805,0.420737647,0.54586419,No
1-decylpyridinium bis(trifluoromethanesulfonyl)imide,1-Propylpyridinium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1086.445384,1329.349177,2.209716429,2.316366977,6.5904,0.396597226,0.54586419,No
1-decylpyridinium bis(trifluoromethanesulfonyl)imide,1-Hexylpyridinium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1128.739992,1636.380249,2.209716429,1.568312185,7.7607,0.473516128,0.54586419,No
(3-aminooctyl)-tetrabutylphosphonium trifluoromethanesulfonate,Tetrabutylphosphonium,Trifluoromethanesulfonate,Octyl,Amino,1036.897952,1391.151686,23.13532007,1.665291195,9.7846,0.511671881,0.545779381,No
(2-hydroxyhexyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Hexyl,Hydroxyl,783.6202642,1385.242201,20.68216494,2.247907987,9.2663,0.102911728,0.545758278,No
(3-aminodecyl)-tetrabutylphosphonium formate,Tetrabutylphosphonium,Formate,Decyl,Amino,922.5028219,1220.668668,20.87496327,1.665291195,8.8795,0.220711896,0.545683279,No
decyl-phospholium tetrafluoroborate,Phospholium,Tetrafluoroborate,Decyl,,602.5979468,1006.187648,17.34645628,1.349858808,7.5635,0.051823024,0.545260543,No
1-nonylpyridinium bis(trifluoromethanesulfonyl)imide,1-Hexylpyridinium,Bis(trifluoromethanesulfonyl)imide,Nonyl,,1117.090883,1681.320217,7.810464333,1.568312185,7.3706,0.446347467,0.54515416,No
(3-aminopropyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Propyl,Amino,1224.347357,1669.222678,15.39789907,2.459603111,8.842,1.042793718,0.545107597,No
carboxyl-1-octyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carboxyl,1303.850073,1576.722364,7.97106008,1.915540829,7.09802,1.587474814,0.544901718,No
(2-hydroxyheptyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Heptyl,Hydroxyl,1250.222815,1528.147089,20.18896152,1.665291195,9.4157,0.860283286,0.5448953,No
(2-hydroxydecyl)-tetrabutylphosphonium dicyanamide,Tetrabutylphosphonium,Dicyanamide,Decyl,Hydroxyl,963.5390922,1218.631892,26.37719785,1.665291195,9.84896,0.240875964,0.544843811,No
(3-aminodecyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Diethylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1141.894634,1382.79898,6.169099782,1.733253018,6.1644,0.750465059,0.544407958,No
carbonyl-tetrapropylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Propyl,Carbonyl,1170.927839,1601.985181,15.10177676,2.459603111,8.4951,0.735528094,0.54434938,No
(3-aminohexyl)trimethylammonium tetrafluoroborate,Tributylmethylammonium,Tetrafluoroborate,Hexyl,Amino,702.6788734,1185.86257,17.38030477,2.339646852,7.8819,0.107815706,0.544347326,No
N-(3-aminodecyl)-N-methylpyrrolidinium tetrafluoroborate,Pyrrolidinium,Tetrafluoroborate,Decyl,Amino,699.3253354,1120.455015,8.781970983,1.349858808,5.9936,0.091107998,0.54425983,No
N-(3-aminodecyl)-N-methylpyrrolidinium tetrafluoroborate,Piperidinium,Tetrafluoroborate,Decyl,Amino,698.9144611,995.7010292,8.781970983,1.349858808,6.3837,0.101609175,0.54425983,No
N-(3-aminodecyl)-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,Pyrrolidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1154.28708,1378.75074,4.23433533,1,5.7529,0.717912336,0.544253621,No
N-(3-aminodecyl)-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,Piperidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1153.876206,1250.397854,4.23433533,1,6.143,0.800659464,0.544253621,No
(2-hydroxydecyl)-tetrabutylphosphonium tosylate,Tetrabutylphosphonium,Tosylate,Decyl,Hydroxyl,1087.414247,1482.721378,26.37719785,1.665291195,10.42582,0.433624941,0.544168769,No
(3-aminodecyl)trimethylammonium tetrafluoroborate,Ammonium,Tetrafluoroborate,Decyl,Amino,608.2823723,1042.036717,9.910552933,2.013752707,5.9852,0.107237831,0.544094249,No
(3-aminodecyl)trimethylammonium tetrafluoroborate,Tetraethylammonium,Tetrafluoroborate,Decyl,Amino,721.0656484,1174.143399,11.79690353,2.637944459,7.4918,0.101629626,0.544094249,No
(3-aminodecyl)trimethylammonium tetrafluoroborate,Tetramethylammonium,Tetrafluoroborate,Decyl,Amino,664.6694874,1125.033434,11.79690353,2.339646852,5.9314,0.080236786,0.544094249,No
(3-aminodecyl)trimethylammonium tetrafluoroborate,Diethylmethylammonium,Tetrafluoroborate,Decyl,Amino,686.9328894,1134.999223,11.79690353,2.339646852,6.4051,0.095239161,0.544094249,No
(3-aminodecyl)trimethylammonium tetrafluoroborate,Tributylmethylammonium,Tetrafluoroborate,Decyl,Amino,749.2587034,1106.485126,11.79690353,2.339646852,9.4423,0.136561675,0.544094249,No
(3-aminoethyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Amino,1211.860559,1712.757924,13.9491809,2.181472265,8.4519,0.935022326,0.543674873,No
(2-hydroxynonyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Nonyl,Hydroxyl,818.5509852,1299.489923,29.25089456,2.247907987,10.4366,0.122871164,0.54359992,No
(3-aminodecyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Ammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1063.244117,1343.133509,5.181308859,1.491824698,5.7445,0.845012117,0.543580516,No
(3-aminodecyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Tetraethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1176.027393,1397.116834,6.169099782,1.954237321,7.2511,0.800820614,0.543580516,No
(3-aminodecyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1204.220448,1320.508643,6.169099782,1.733253018,9.2016,1.076077992,0.543580516,No
